Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/appointments,283,0,6,11.462732749222285,4.613190991221927,574.3242810131051,888.0,4.876346126455735,0.0,6,7,7,8,9,10,13,350,570,570,570
GET,GET /api/client-ops/summary,315,0,10,11.2076831240085,8.1383700016886,35.176453995518386,243.0,5.427735087751082,0.0,10,11,12,13,15,17,20,21,35,35,35
GET,GET /api/companies,471,0,6,11.705418859739222,4.014992999145761,611.797203993774,942.0,8.115756274065903,0.0,6,7,7,8,9,10,13,330,610,610,610
GET,GET /api/contacts,471,0,6,6.271479158976655,4.021918997750618,23.22237599582877,725.0,8.115756274065903,0.0,6,6,7,7,8,10,13,16,23,23,23
GET,GET /api/dashboard,550,0,17,25.37514565631599,11.688936006976292,627.3824910022086,1997.0,9.476997772263795,0.0,17,19,21,22,27,30,41,450,630,630,630
GET,GET /api/field/check-ins,283,0,6,6.367209271606808,4.4568379962584,21.56573999673128,214.0,4.876346126455735,0.0,6,6,7,7,8,11,11,16,22,22,22
GET,GET /api/portal-links,315,0,6,8.299545644429541,4.563690003124066,540.7591940020211,582.0,5.427735087751082,0.0,6,7,7,8,9,10,10,12,540,540,540
GET,GET /api/workspaces,10,0,12,16.65210049977759,8.310374003485776,34.8432850005338,441.0,0.17230905040479627,0.0,17,18,23,23,35,35,35,35,35,35,35
GET,GET /api/workspaces/:id,433,0,14,17.271803107755755,9.787871007574722,669.0337990003172,5229.0,7.460981882527679,0.0,14,15,16,17,21,23,26,31,670,670,670
POST,POST /api/auth/login,10,0,620,624.5321690003038,617.3110519885086,644.9252890015487,492.0,0.17230905040479627,0.0,620,620,630,640,640,640,640,640,640,640,640
,Aggregated,3141,0,8,15.12404749200912,4.014992999145761,669.0337990003172,1505.487106017192,54.122272732146506,0.0,8,12,14,15,19,22,29,41,630,670,670
