Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787083197,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787083198,2,,Aggregated,0.000000,0.000000,8,9,9,620,640,640,640,640,640,640,640,10,0,8,132.88323910092004,5.583051999565214,644.9252890015487,630.2
1787083199,4,,Aggregated,0.000000,0.000000,11,19,570,600,620,620,640,640,640,640,640,23,0,11,167.62174278340788,5.583051999565214,644.9252890015487,1435.1304347826087
1787083200,6,,Aggregated,0.000000,0.000000,13,19,280,460,620,620,640,640,640,640,640,46,0,13,152.06195567399212,5.425334005849436,644.9252890015487,1268.5434782608695
1787083201,8,,Aggregated,5.000000,0.000000,15,23,330,460,620,620,620,640,640,640,640,72,0,15,157.09017268030343,5.317101997206919,644.9252890015487,1296.263888888889
1787083202,10,,Aggregated,7.666667,0.000000,16,29,350,450,620,620,640,640,670,670,670,103,0,16,161.74176347555562,5.159523003385402,669.0337990003172,1319.4660194174758
1787083203,10,,Aggregated,11.500000,0.000000,13,17,23,35,570,620,630,640,670,670,670,156,0,12,110.02917723071266,4.640553001081571,669.0337990003172,1381.0128205128206
1787083204,10,,Aggregated,14.600000,0.000000,10,15,18,22,410,620,630,640,670,670,670,221,0,10,80.43440169224418,4.436105999047868,669.0337990003172,1344.6877828054298
1787083205,10,,Aggregated,21.000000,0.000000,10,14,17,19,330,610,620,640,670,670,670,280,0,9,65.66531169269832,4.436105999047868,669.0337990003172,1415.807142857143
1787083206,10,,Aggregated,26.857143,0.000000,9,13,16,18,31,550,620,630,670,670,670,342,0,9,55.51250347062913,4.436105999047868,669.0337990003172,1411.0994152046783
