Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/appointments,326,0,6,12.119149898822196,4.274047998478636,582.5184709974565,883.0,5.519640555286673,0.0,6,6,7,7,8,9,12,410,580,580,580
GET,GET /api/client-ops/summary,297,0,10,10.750246787847878,7.803635002346709,30.92748500057496,243.0,5.028629585644607,0.0,10,11,12,12,14,15,19,21,31,31,31
GET,GET /api/companies,446,0,6,7.1511123946682815,4.054354001709726,469.927309997729,1478.0,7.55141008484005,0.0,6,6,7,7,8,9,11,12,470,470,470
GET,GET /api/contacts,445,0,5,5.7207759350716145,3.875255999446381,25.397054996574298,958.0,7.534478672093772,0.0,5,6,6,7,8,8,10,11,25,25,25
GET,GET /api/dashboard,598,0,19,28.753231117315163,13.532013996155001,671.7176719976123,2867.0,10.124984822274328,0.0,19,21,23,24,28,32,42,490,670,670,670
GET,GET /api/field/check-ins,326,0,5,5.801746153209838,3.8174299988895655,24.635688998387195,2.0,5.519640555286673,0.0,5,6,6,7,7,9,12,14,25,25,25
GET,GET /api/portal-links,297,0,6,7.2267504175928945,4.309408999688458,289.62760199647164,621.0,5.028629585644607,0.0,6,7,7,7,8,9,10,11,290,290,290
GET,GET /api/workspaces,10,0,12,13.939590798690915,9.033717993588652,25.47531999880448,680.0,0.1693141274627814,0.0,12,14,16,23,25,25,25,25,25,25,25
GET,GET /api/workspaces/:id,441,0,13,20.232067106591533,9.68330700561637,650.6527840028866,2052.0,7.4667530211086595,0.0,13,14,15,15,18,20,30,540,650,650,650
POST,POST /api/auth/login,10,0,620,622.6750653004274,612.4498389981454,643.4747020030045,492.0,0.1693141274627814,0.0,620,620,630,630,640,640,640,640,640,640,640
,Aggregated,3196,0,7,15.456646453460511,3.8174299988895655,671.7176719976123,1333.4586983729662,54.11279513710493,0.0,7,11,14,16,20,24,31,42,660,670,670
